time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss
10,13,18,250,390,0.0003,-9.054345893859864,0.003999999910593033,-5.92203426361084,0.2,0.0054123593,-0.028514551989269422,10.353313446044922,22.699631690979004
1,0,27,25,400,0.0003,-9.04106502532959,0.003999999910593033,0.2767559885978699,0.2,0.006550624,-0.03739856167882678,8.233658790588379,17.333382987976073
2,1,25,50,410,0.0003,-9.052503299713134,0.27999999448657037,0.008043467998504639,0.2,0.069388434,-0.07722439362108702,3.4385015964508057,7.42835373878479
3,3,23,75,420,0.0003,-9.043238258361816,0.06399999782443047,-0.6395275592803955,0.2,0.014247369,-0.049144394284114414,3.9053494930267334,9.153792190551759
4,4,22,100,430,0.0003,-9.027868938446044,0.0559999980032444,-0.23386132717132568,0.2,0.013429589,-0.04635791224986328,10.214818000793457,23.199467658996582
5,5,21,125,440,0.0003,-8.887057304382324,0.23999999687075615,0.17265546321868896,0.2,0.05400217,-0.07605363791156564,0.5610167980194092,1.8733573317527772
6,7,20,150,450,0.0003,-8.91102180480957,0.13599999696016313,-0.028745412826538086,0.2,0.022371097,-0.05525684204697612,10.95895767211914,23.804367446899413
7,8,19,175,460,0.0003,-8.779503059387206,0.17999999821186066,-1.2458593845367432,0.2,0.030020231,-0.05619572117924747,5.553817272186279,12.906597709655761
8,10,19,200,470,0.0003,-8.901664638519287,0.011999999731779098,-0.04018354415893555,0.2,0.006675515,-0.013906342448317233,10.549539566040039,22.882231330871583
9,11,19,225,480,0.0003,-8.658650016784668,0.13999999687075615,-0.08045709133148193,0.2,0.027185159,-0.06702456388436265,4.882299423217773,11.379956150054932
10,13,18,250,490,0.0003,-8.523578262329101,0.24799999371170997,-0.6878130435943604,0.2,0.053331263,-0.07711683890037264,0.8598251938819885,2.6249247789382935
