,assets,cash,equity
8512,-7,1407.4025000000001,2.502500000000282
8513,-7,1407.4025000000001,1.1025000000004184
8514,-7,1407.4025000000001,-2.0475000000001273
8515,-11,2220.4025,8.302500000000236
8516,9,-1795.5974999999999,13.402500000000146
8517,9,-1795.5974999999999,12.502500000000055
8518,6,-1190.4975,15.502500000000055
8519,6,-1190.4975,19.402499999999918
8520,-16,3249.1025000000004,26.702500000000327
8521,-15,3048.1025000000004,27.10250000000042
8522,-9,1841.8025000000005,23.802500000000464
8523,11,-2201.597499999999,20.952500000001237
8524,12,-2403.097499999999,20.30250000000069
8525,14,-2804.897499999999,26.602500000000873
8526,14,-2804.897499999999,29.4025000000006
8527,14,-2804.897499999999,31.50250000000142
8528,14,-2804.897499999999,32.20250000000078
8529,14,-2804.897499999999,36.4025000000006
8530,20,-4016.897499999999,43.10250000000087
8531,20,-4016.897499999999,31.102500000000873
8532,18,-3610.897499999999,34.10250000000087
8533,8,-1582.897499999999,38.70250000000101
8534,8,-1582.897499999999,36.30250000000092
8535,8,-1582.897499999999,35.50250000000119
8536,8,-1582.897499999999,33.1025000000011
8537,7,-1380.297499999999,35.10250000000087
8538,7,-1380.297499999999,32.652500000001055
8539,7,-1380.297499999999,24.602500000000873
8540,-3,628.7025000000011,26.302500000001032
8541,-3,628.7025000000011,26.302500000001032
8542,-3,628.7025000000011,26.602500000001214
8543,-3,628.7025000000011,25.852500000001214
8544,-3,628.7025000000011,25.852500000001214
8545,-3,628.7025000000011,26.452500000001123
8546,-3,628.7025000000011,26.90250000000117
8547,-3,628.7025000000011,27.352500000001214
8548,-3,628.7025000000011,27.652500000001055
8549,-3,628.7025000000011,27.652500000001055
8550,-3,628.7025000000011,27.952500000001123
8551,-3,628.7025000000011,27.502500000001078
8552,-3,628.7025000000011,27.65250000000117
8553,-3,628.7025000000011,27.652500000001055
8554,-3,628.7025000000011,27.952500000001123
8555,-3,628.7025000000011,27.952500000001123
8556,-3,628.7025000000011,28.102500000001214
8557,77,-15395.297499999999,12.402500000000146
8558,17,-3395.2974999999988,5.552500000001601
8559,17,-3395.2974999999988,5.552500000001601
8560,17,-3395.2974999999988,5.552500000001601
8561,-23,4604.702500000001,3.552500000000691
8562,-7,1404.7025000000012,4.3525000000011005
8563,-7,1404.7025000000012,4.3525000000011005
8564,13,-2593.297499999999,5.402500000001055
