time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss
25,1,26,0,-0.16982032507658004,15.500741863250733,29300,-0.00657314695417881,0.2,0.01149254,0.0003,-0.012843847274780273,0.031999999284744264,7.591482162475586
50,2,24,2,-0.018188139609992503,8.34966583251953,29310,-2.9351710367109264e-06,0.2,-2.3841857e-09,0.0003,-1.910088062286377,0.0,4.081879615783691
75,3,22,3,-0.023171668872237206,5.092939949035644,29320,-2.4648903838198067e-05,0.2,1.4305114e-08,0.0003,-2.3806822299957275,0.0,2.3099493980407715
100,4,21,4,-0.23790049999952317,1.6767717123031616,29330,-0.0002499107054973138,0.2,8.398771e-05,0.0003,-2.2624318599700928,0.0,0.7406365275382996
125,5,21,5,-0.9474457502365112,1.7590339064598084,29340,-0.014304513279348896,0.2,0.007833643,0.0003,-1.4265589714050293,0.04799999892711639,0.777076005935669
150,6,20,7,-0.015210262220352887,3.1734344720840455,29350,-2.7034878207032875e-05,0.2,8.5830685e-08,0.0003,-1.7164092063903809,0.0,1.4354199171066284
175,7,20,8,-0.026351458765566348,5.686765098571778,29360,-4.9273012438799665e-05,0.2,1.5258789e-07,0.0003,0.22188043594360352,0.0,2.4880948066711426
200,8,19,10,-0.005378436343744397,18.917967510223388,29370,-5.006790022576979e-08,0.2,0.0,0.0003,-0.36383056640625,0.0,7.4866204261779785
225,9,18,11,-0.1397097021341324,4.249417877197265,29380,-0.0031396550287608347,0.2,0.00057128427,0.0003,-51.57169723510742,0.0,1.9539648294448853
250,10,18,13,-0.10578580871224404,12.10099687576294,29390,0.00029150103896959936,0.2,0.00027688264,0.0003,-0.23220419883728027,0.0,5.7776899337768555
25,1,25,0,-0.20544559359550477,2.071561408042908,29400,-0.0032500445321201,0.2,0.0024471043,0.0003,0.10616308450698853,0.011999999731779098,0.9634361863136292
50,2,24,2,-0.04388422556221485,10.695804691314697,29410,-0.0012772755569237404,0.2,0.0006509137,0.0003,0.16945981979370117,0.0,5.010727405548096
75,3,23,3,-0.6161892473697662,0.6463864862918853,29420,-0.005036304358393018,0.2,0.012419808,0.0003,0.26548391580581665,0.05199999883770943,0.306131511926651
100,4,22,4,-0.0804898239672184,6.764143657684326,29430,-0.001973071997053921,0.2,0.00020719289,0.0003,-1.7744472026824951,0.0,3.1259512901306152
125,5,20,5,-0.7467798888683319,0.3699218660593033,29440,-0.02728504848480231,0.2,0.055661477,0.0003,0.08164107799530029,0.10799999758601189,0.1363142430782318
150,6,20,7,-1.0125684201717378,24.065950393676758,29450,-0.01568822240270675,0.2,0.025661668,0.0003,-0.7074939012527466,0.06799999848008156,11.666935920715332
175,7,19,8,-0.5711377024650574,1.1591488718986511,29460,-0.0013785042354138356,0.2,0.0014866662,0.0003,0.5985955595970154,0.011999999731779098,0.5402074456214905
200,8,19,10,-1.6999014735221862,0.7822359263896942,29470,-0.03285492262244176,0.2,0.10438172,0.0003,-0.6039029359817505,0.14399999231100083,0.3078716993331909
225,9,18,12,-0.5372461259365082,0.5456190943717957,29480,-0.014500658284872792,0.2,0.050162017,0.0003,0.14856761693954468,0.07199999839067459,0.2433670610189438
250,10,18,13,-0.38135793805122375,1.5284732580184937,29490,-0.0026193150856997248,0.2,0.006461415,0.0003,-0.06442654132843018,0.03599999919533729,0.6708187460899353
25,1,25,0,-0.289975181221962,0.2952687039971352,29500,-0.005765934425406271,0.2,0.009791955,0.0003,-0.4375211000442505,0.023999999463558196,0.11124864220619202
50,2,24,2,-0.03411188144236803,7.965961647033692,29510,-0.0005887002898379734,0.2,2.5475025e-05,0.0003,-8.040230751037598,0.0,3.854276180267334
75,3,23,3,-0.23489560037851334,10.210559558868407,29520,0.0005047807567166273,0.2,0.00010940552,0.0003,0.32437747716903687,0.0,4.956004619598389
100,4,22,4,-0.1450899973511696,1.6677537322044373,29530,-0.01279824069328619,0.2,0.011854314,0.0003,0.8312625586986542,0.023999999463558196,0.7422806620597839
125,5,21,5,-0.08392390757799148,7.838239908218384,29540,0.003713489465881281,0.2,0.0010323143,0.0003,-3.9630303382873535,0.011999999731779098,2.9416801929473877
150,6,20,7,-0.3973536312580109,6.470085477828979,29550,-0.02259653570735818,0.2,0.016593639,0.0003,-5.55696439743042,0.03999999910593033,3.0187289714813232
175,7,19,8,-0.4494598627090454,0.756601870059967,29560,-0.004274045423604633,0.2,0.0016856765,0.0003,0.44629424810409546,0.007999999821186066,0.3437269628047943
200,8,19,10,-0.3083535671234131,0.18729076981544496,29570,-0.01856423498690125,0.2,0.055213604,0.0003,0.14348870515823364,0.10799999758601189,0.06196890026330948
225,9,18,12,-0.21042373925447463,17.982038497924805,29580,-0.0009928459894872788,0.2,0.0008575201,0.0003,-1.19698166847229,0.0,8.778055191040039
250,10,18,13,-0.019803001172840597,10.553428840637206,29590,0.001824646198190738,0.2,1.9934178e-05,0.0003,0.6435019075870514,0.0,5.0651535987854
25,1,25,0,-0.3084218382835388,1.1324742555618286,29600,-0.0027937466378208597,0.2,0.0022542595,0.0003,-5.4342169761657715,0.015999999642372132,0.507737398147583
50,2,24,2,-0.035650715976953504,2.405755949020386,29610,5.055498938606462e-05,0.2,2.1839141e-06,0.0003,-0.34283149242401123,0.0,1.1492308378219604
75,3,23,3,-0.5342208504676819,2.4004390954971315,29620,-0.0007526693248365746,0.2,0.00071890355,0.0003,-0.78907310962677,0.0,1.0960867404937744
100,4,22,4,-0.0037813838571310043,24.056251525878906,29630,-7.987022190292237e-08,0.2,0.0,0.0003,-0.4850950241088867,0.0,10.912799835205078
125,5,22,5,-0.035736207664012906,6.98673644065857,29640,6.106853204057572e-06,0.2,0.0,0.0003,0.42118072509765625,0.0,3.3951950073242188
150,6,21,7,-0.47880092859268186,4.709012985229492,29650,-0.02731834075599977,0.2,0.034524277,0.0003,-0.5207080841064453,0.05599999874830246,2.111313819885254
175,7,20,8,-0.07728583663702011,3.0514224767684937,29660,0.00020943951321541476,0.2,2.9730795e-06,0.0003,-0.05885505676269531,0.0,1.5132848024368286
200,8,19,10,-0.022638724371790885,3.170729231834412,29670,-2.301239901498775e-05,0.2,1.9073486e-08,0.0003,0.548436164855957,0.0,1.4826523065567017
225,9,19,11,-0.35996769070625306,6.456154012680054,29680,-0.004300678581581429,0.2,0.0012062168,0.0003,0.18773329257965088,0.007999999821186066,3.0069167613983154
250,10,18,13,-0.3953427404165268,1.3146751165390014,29690,-0.006606306781526783,0.2,0.0060621714,0.0003,-2.428666830062866,0.03599999919533729,0.6097272038459778
25,1,26,0,-0.0036972949979826807,11.5937029838562,29700,3.290176220360763e-08,0.2,0.0,0.0003,-0.3460296392440796,0.0,5.338252544403076
50,2,25,1,-0.09216076135635376,5.106909322738647,29710,-0.0005495994076918365,0.2,3.3187865e-05,0.0003,-1.9878172874450684,0.0,2.3926267623901367
75,3,23,3,-0.4823271006345749,13.958409786224365,29720,-0.003387245353427737,0.2,0.0013018298,0.0003,-0.003021240234375,0.003999999910593033,6.88139533996582
100,4,23,4,-0.11801694110035896,0.8317534983158111,29730,-0.005078139904886392,0.2,0.0064446805,0.0003,0.5502263903617859,0.031999999284744264,0.363626092672348
125,5,22,5,-0.5210800409317017,0.8011191546916961,29740,-0.00891585369477923,0.2,0.005172813,0.0003,-1.379944086074829,0.023999999463558196,0.3003883361816406
150,6,21,7,-0.7576924800872803,0.31125236451625826,29750,-0.01901895134523528,0.2,0.018064236,0.0003,0.3576619625091553,0.08399999812245369,0.11067820340394974
175,7,20,8,-0.14982099384069442,3.396775317192078,29760,-0.00381851065799097,0.2,0.0008489418,0.0003,0.07578480243682861,0.0,1.6176605224609375
